dataset,n_rows,n_columns,n_missing_text,date_min,date_max
youtube,99620,10,24,2022-03-11 10:06:07+00:00,2025-12-08 12:47:51+00:00
gdelt,81477,11,40,2022-01-01 00:00:00+00:00,2025-12-08 11:45:00+00:00
